,0
emission_pred_2_04,312
Location_week_no_enc,282
Median_x_groups,203
week_no_enc,173
week_no,154
year,147
Location_enc,140
Ozone_O3_column_number_density,128
latitude,89
Cloud_solar_zenith_angle,57
NitrogenDioxide_stratospheric_NO2_column_number_density,54
Location_group_enc,54
UvAerosolIndex_absorbing_aerosol_index,52
UvAerosolIndex_solar_azimuth_angle,47
UvAerosolIndex_solar_zenith_angle,45
Cloud_surface_albedo,45
Ozone_O3_slant_column_number_density,44
UvAerosolIndex_sensor_azimuth_angle,40
Cloud_cloud_fraction,39
Cloud_solar_azimuth_angle,37
longitude,33
Ozone_solar_azimuth_angle,29
Ozone_solar_zenith_angle,29
UvAerosolIndex_sensor_zenith_angle,28
NitrogenDioxide_tropopause_pressure,27
CarbonMonoxide_CO_column_number_density,27
Ozone_O3_column_number_density_amf,24
Cloud_sensor_zenith_angle,23
Ozone_O3_effective_temperature,22
SulphurDioxide_sensor_azimuth_angle,22
NitrogenDioxide_absorbing_aerosol_index,22
SulphurDioxide_solar_zenith_angle,22
UvAerosolLayerHeight_sensor_zenith_angle,21
Formaldehyde_solar_zenith_angle,20
UvAerosolIndex_sensor_altitude,20
CarbonMonoxide_solar_zenith_angle,19
NitrogenDioxide_tropospheric_NO2_column_number_density,18
Cloud_sensor_azimuth_angle,18
SulphurDioxide_SO2_column_number_density_15km,18
NitrogenDioxide_solar_zenith_angle,17
NitrogenDioxide_solar_azimuth_angle,17
Formaldehyde_solar_azimuth_angle,17
CarbonMonoxide_H2O_column_number_density,16
NitrogenDioxide_sensor_azimuth_angle,16
NitrogenDioxide_NO2_column_number_density,15
Ozone_sensor_azimuth_angle,15
CarbonMonoxide_sensor_altitude,15
SulphurDioxide_solar_azimuth_angle,14
CarbonMonoxide_sensor_zenith_angle,13
NitrogenDioxide_sensor_altitude,13
Formaldehyde_tropospheric_HCHO_column_number_density_amf,13
CarbonMonoxide_sensor_azimuth_angle,13
SulphurDioxide_sensor_zenith_angle,11
SulphurDioxide_SO2_column_number_density_amf,11
CarbonMonoxide_cloud_height,11
NitrogenDioxide_cloud_fraction,11
Ozone_cloud_fraction,10
Formaldehyde_sensor_azimuth_angle,10
Ozone_sensor_zenith_angle,10
CarbonMonoxide_solar_azimuth_angle,10
Formaldehyde_HCHO_slant_column_number_density,9
NitrogenDioxide_NO2_slant_column_number_density,9
SulphurDioxide_cloud_fraction,9
UvAerosolLayerHeight_solar_azimuth_angle,8
UvAerosolLayerHeight_sensor_azimuth_angle,8
Formaldehyde_cloud_fraction,8
Cloud_cloud_top_pressure,7
Formaldehyde_sensor_zenith_angle,7
SulphurDioxide_SO2_column_number_density,7
SulphurDioxide_SO2_slant_column_number_density,7
Cloud_cloud_optical_depth,7
UvAerosolLayerHeight_solar_zenith_angle,7
Cloud_cloud_base_pressure,7
UvAerosolLayerHeight_aerosol_optical_depth,7
Cloud_cloud_base_height,6
Cloud_cloud_top_height,6
NitrogenDioxide_sensor_zenith_angle,5
Formaldehyde_tropospheric_HCHO_column_number_density,4
UvAerosolLayerHeight_aerosol_pressure,3
Cluster_3_enc,3
Location_cluster_2,2
UvAerosolLayerHeight_aerosol_height,2
